longitude,time,humidity,temperature,windspeed,soundvalue,distance,,latitude
7.574877, 10:6:7,82,10,-0.29,10,1125,0,51.975193
7.574857, 10:6:12,0,0,-0.19,12,1124,0,51.975193
7.574857, 10:6:12,82,10,-0.19,12,1124,0,51.975181
7.574823, 10:6:17,0,0,-0.29,10,1126,0,51.975181
7.574823, 10:6:17,82,10,-0.29,10,1126,0,51.975177
7.574825, 10:6:22,0,0,-0.19,11,1126,0,51.975177
7.574825, 10:6:22,82,10,-0.19,11,1126,0,51.975128
7.574841, 10:6:27,0,0,-0.09,10,1125,0,51.975128
7.574841, 10:6:27,82,10,-0.09,10,1125,0,51.97509
7.574868, 10:6:32,0,0,-0.19,10,1121,0,51.97509
7.574868, 10:6:32,82,10,-0.19,10,1121,0,51.975105
7.574827, 10:6:37,0,0,-0.19,14,1115,0,51.975105
7.574827, 10:6:37,82,10,-0.19,14,1115,0,51.97517
7.574732, 10:6:42,0,0,-0.09,12,1104,0,51.97517
7.574732, 10:6:42,82,10,-0.09,12,1104,0,51.9752
7.574759, 10:6:47,0,0,-0.09,13,1088,0,51.9752
7.574759, 10:6:47,82,10,-0.09,13,1088,0,51.975173
7.574862, 10:6:52,0,0,-0.09,15,1067,0,51.975173
